"","X_coordinate","Y_coordinate","Q11","Q12","Q21","Q22","eigenvalue_1","eigenvalue_2","director_x","director_y","order_parameter"
"4610",27,173,0.794332827786221,0.393837052397597,0.393837052397597,-0.794332827786221,0.886607165062454,-0.886607165062454,-0.973633456270724,-0.228118155415835,0.886607165062454
"4611",27,174,0.753129034028495,0.361513780442202,0.361513780442202,-0.753129034028495,0.835401433651096,-0.835401433651096,-0.975068594103712,-0.221903665568218,0.835401433651096
"4612",27,175,0.735076700301802,0.346892853015532,0.346892853015532,-0.735076700301802,0.812817572890646,-0.812817572890646,-0.975796164482192,-0.218682064609432,0.812817572890646
"4613",27,176,0.750827896388401,0.372634173634117,0.372634173634117,-0.7508278963884,0.838211642340413,-0.838211642340412,-0.973588666374845,-0.228309239205184,0.838211642340413
"4614",27,177,0.733145751579115,0.389291242078999,0.389291242078999,-0.733145751579115,0.830090575912,-0.830090575912,-0.970363785301591,-0.241648761998005,0.830090575912
"4615",27,178,0.684479002807979,0.450009137100901,0.450009137100901,-0.684479002807979,0.819157938836768,-0.819157938836768,-0.958015803717566,-0.2867153986576,0.819157938836768
"4616",27,179,0.735779526654947,0.42046404122968,0.42046404122968,-0.735779526654947,0.847444111320488,-0.847444111320488,-0.966497203462316,-0.256677142923794,0.847444111320488
"4617",27,180,0.708662598243164,0.494329840197809,0.494329840197809,-0.708662598243164,0.864039738124783,-0.864039738124783,-0.953984700650377,-0.29985528330348,0.864039738124783
"4618",27,181,0.727565544371479,0.455820074255804,0.455820074255804,-0.727565544371479,0.858559002894462,-0.858559002894462,-0.961099988544617,-0.276200673459602,0.858559002894462
"4619",27,182,0.715064273873393,0.447823203667363,0.447823203667363,-0.715064273873393,0.843719466121876,-0.843719466121876,-0.961122846973794,-0.276121120208123,0.843719466121876
"4620",27,183,0.685957174344808,0.52731629805955,0.52731629805955,-0.685957174344808,0.865216575912841,-0.865216575912841,-0.946788142030404,-0.32185744377071,0.865216575912841
"4621",27,184,0.647627517036592,0.563570891871754,0.563570891871754,-0.647627517036592,0.858506581796614,-0.858506581796614,-0.936580277481116,-0.35045311217536,0.858506581796614
"4622",27,185,0.629460986081624,0.626419555992401,0.626419555992401,-0.629460986081625,0.888044251785105,-0.888044251785105,-0.924342236202152,-0.381564451138735,0.888044251785105
"4623",27,186,0.595255266597184,0.634435739734981,0.634435739734981,-0.595255266597184,0.869964102859858,-0.869964102859858,-0.9176681556846,-0.397347651361406,0.869964102859858
"4624",27,187,0.623501287077209,0.624618531485693,0.624618531485693,-0.623501287077209,0.882554341025118,-0.882554341025118,-0.923708162030152,-0.383096895574578,0.882554341025118
"4625",27,188,0.535321278105053,0.664503051227235,0.664503051227235,-0.535321278105053,0.853307199010024,-0.853307199010024,-0.902039033541584,-0.43165447057498,0.853307199010024
