"","X_coordinate","Y_coordinate","Q11","Q12","Q21","Q22","eigenvalue_1","eigenvalue_2","director_x","director_y","order_parameter"
"2321",-9,141,-0.0812631697160971,0.884211427035197,0.884211427035197,0.081263169716097,0.88793780776129,-0.88793780776129,-0.673973668565444,-0.738755368224446,0.88793780776129
"2322",-9,142,-0.0605287661298896,0.914630289180673,0.914630289180673,0.0605287661298897,0.91663094940981,-0.916630949409809,0.683361560889219,0.730080116904337,0.91663094940981
"2323",-9,143,-0.058717564154992,0.903486494740727,0.903486494740727,0.058717564154992,0.905392510748339,-0.905392510748339,-0.683793404959983,-0.729675667220192,0.905392510748339
"2324",-9,144,-0.0703585304573732,0.922426019576489,0.922426019576489,0.0703585304573733,0.925105445016862,-0.925105445016862,0.679685733867231,0.733503444557259,0.925105445016862
"2325",-9,145,-0.0627886880163048,0.913272829262549,0.913272829262549,0.0627886880163049,0.915428686469913,-0.915428686469913,0.682426046484242,0.73095464365437,0.915428686469913
"2326",-9,146,-0.0787815532139093,0.918343237352387,0.918343237352387,0.0787815532139093,0.921716244143315,-0.921716244143315,0.676212734553235,0.736706412099173,0.921716244143315
"2327",-9,147,-0.112318203635219,0.907761269210457,0.907761269210457,0.112318203635219,0.914683497580678,-0.914683497580678,-0.662270862146999,-0.749264509469834,0.914683497580678
"2328",-9,148,-0.103704475388489,0.912224086866646,0.912224086866646,0.103704475388489,0.918099887199257,-0.918099887199257,-0.665974643861329,-0.745974378738155,0.918099887199257
"2329",-9,149,-0.0858030069125204,0.907334824020178,0.907334824020178,0.0858030069125204,0.911382816863999,-0.911382816863999,-0.672998530321708,-0.739643818459143,0.911382816863999
"2330",-9,150,-0.0687859972470079,0.910792271480401,0.910792271480401,0.068785997247008,0.91338604938202,-0.91338604938202,0.679960002876449,0.73324920353742,0.91338604938202
"2331",-9,151,-0.0408942951169926,0.924778139952169,0.924778139952169,0.0408942951169926,0.925681884616151,-0.925681884616152,-0.691311260450942,-0.722557085062301,0.925681884616151
"2332",-9,152,-0.033616126580123,0.921514703794821,0.921514703794821,0.0336161265801229,0.922127644784771,-0.92212764478477,-0.694098350311631,-0.719880184540922,0.922127644784771
"2333",-9,153,-0.0261910054249023,0.923275542295563,0.923275542295563,0.0261910054249024,0.923646954071919,-0.923646954071919,0.697009297506219,0.717062088796979,0.923646954071919
"2334",-9,154,-0.0171233666843696,0.919232699342933,0.919232699342933,0.0171233666843695,0.91939217161552,-0.919392171615521,-0.700491020610363,-0.713661215174435,0.91939217161552
"2335",-9,155,-0.0047095093915395,0.914012420348695,0.914012420348695,0.00470950939153947,0.914024553297333,-0.914024553297333,-0.705282745542054,-0.708926123683324,0.914024553297333
"2336",-9,156,-0.00741696759093257,0.911525529567647,0.911525529567647,0.00741696759093258,0.911555704530351,-0.911555704530351,0.704224181713555,0.709977677036309,0.911555704530351
"2337",-9,157,0.000404575559400673,0.911345046653968,0.911345046653968,-0.000404575559400655,0.911345136456056,-0.911345136456056,-0.707263717547607,-0.706949809987059,0.911345136456056
"2338",-9,158,0.0147188300043703,0.906888494625552,0.906888494625552,-0.0147188300043704,0.907007930307611,-0.907007930307611,-0.712821119076613,-0.701345886277495,0.907007930307611
"2339",-9,159,0.0196239740144388,0.899568858848603,0.899568858848603,-0.0196239740144388,0.899782880569694,-0.899782880569694,-0.714776075782202,-0.699353388130346,0.899782880569694
