"","X","Y","modulus"
"1",-50,168,0.999999325117485
"2",-50,178,0.999992013786795
"3",-50,179,1
"4",-50,183,0.999997721197832
"5",-50,188,0.999996583906813
"6",-50,189,0.999995975305
"7",-50,193,0.999989786035325
"8",-50,194,0.999969442909932
"9",-50,198,0.999956935716714
"10",-49,140,0.988811639004646
"11",-49,141,0.979507234648683
"12",-49,142,0.977277707420655
"13",-49,143,0.953132214939855
"14",-49,144,0.857128072797823
"15",-49,145,0.876860492167398
"16",-49,146,0.984095800746375
"17",-49,147,0.981990591257047
"18",-49,148,0.952465621908575
"19",-49,149,0.791973806738811
"20",-49,150,0.956411139555587
"21",-49,151,0.953790684897249
"22",-49,152,0.983890387129722
"23",-49,153,0.96689087733627
"24",-49,154,0.879486432702493
"25",-49,155,0.946345701761465
"26",-49,156,0.973089182826592
"27",-49,157,0.960857233165993
"28",-49,158,0.981835452922838
"29",-49,159,0.888754633526609
"30",-49,160,0.998864618197322
"31",-49,161,0.973345246115702
"32",-49,162,0.976833008421807
"33",-49,163,0.953801681653657
"34",-49,164,0.83030542130656
"35",-49,165,0.990184577440351
"36",-49,166,0.626038218172827
"37",-49,167,0.974512236593929
"38",-49,168,0.961965271344652
"39",-49,169,0.969505011871781
"40",-49,170,0.979697024365451
"41",-49,171,0.905160358706509
"42",-49,172,0.921967588387296
"43",-49,173,0.907685843725591
"44",-49,174,0.843234449196336
"45",-49,175,0.91382127007087
"46",-49,176,0.600642969514457
"47",-49,177,0.829931222160268
"48",-49,178,0.788084181593631
"49",-49,179,0.695566243722669
"50",-49,180,0.987769029217762
"51",-49,181,0.934983980776035
"52",-49,182,0.934000132305995
"53",-49,183,0.961205623049638
"54",-49,184,0.869475453271232
"55",-49,185,0.780357456021147
"56",-49,186,0.764233919600279
"57",-49,187,0.95244370375047
"58",-49,188,0.942497736342029
"59",-49,189,0.881919337732688
"60",-49,190,0.79391010519301
"61",-49,191,0.701056410186281
"62",-49,192,0.956442447161854
"63",-49,193,0.971880576600279
"64",-49,194,0.894554902483062
"65",-49,195,0.952938487210605
"66",-49,196,0.701459699676967
"67",-49,197,0.928255686632775
"68",-49,198,0.694608596963941
"69",-49,199,0.923373343749395
"70",-48,140,0.702913903466261
"71",-48,141,0.912036185186496
"72",-48,142,0.877185481106678
"73",-48,143,0.914675704544099
"74",-48,144,0.886576738770119
"75",-48,145,0.932521919826695
"76",-48,146,0.904980383608281
"77",-48,147,0.884289691876734
"78",-48,148,0.888573903233057
"79",-48,149,0.799364616362575
"80",-48,150,0.716808175366428
"81",-48,151,0.927041596194416
"82",-48,152,0.908880087885978
"83",-48,153,0.923693652095046
"84",-48,154,0.877678149730108
"85",-48,155,0.866563040629336
"86",-48,156,0.913428667224967
"87",-48,157,0.880836955259558
"88",-48,158,0.867189358319533
"89",-48,159,0.774222636063148
"90",-48,160,0.752099471185852
"91",-48,161,0.867407458821793
"92",-48,162,0.892986494209288
"93",-48,163,0.79687211400533
"94",-48,164,0.782333521971021
"95",-48,165,0.781389062594302
"96",-48,166,0.742538060814264
"97",-48,167,0.816868318888475
"98",-48,168,0.895106094107134
"99",-48,169,0.793478461250105
"100",-48,170,0.680986665669913
"101",-48,171,0.797860313994298
"102",-48,172,0.840601466245111
"103",-48,173,0.835907389427194
"104",-48,174,0.64193866688952
"105",-48,175,0.648888300907879
"106",-48,176,0.867812421882814
"107",-48,177,0.812049040505491
"108",-48,178,0.815102915014538
"109",-48,179,0.779979840599402
"110",-48,180,0.732831928619227
"111",-48,181,0.814925269644923
"112",-48,182,0.766425355978889
"113",-48,183,0.818095029205262
"114",-48,184,0.790591787026233
"115",-48,185,0.700212468784553
"116",-48,186,0.685056721300107
"117",-48,187,0.72486017634872
"118",-48,188,0.620380141581445
"119",-48,189,0.409790614845249
"120",-48,190,0.600229308593681
"121",-48,191,0.727723379890465
"122",-48,192,0.768106980265612
"123",-48,193,0.770955164541535
"124",-48,194,0.830339574717957
"125",-48,195,0.817083840089445
"126",-48,196,0.620361393988228
"127",-48,197,0.485340353879005
"128",-48,198,0.548210355264056
"129",-48,199,0.951287228692688
"130",-47,140,0.920968992612662
"131",-47,141,0.922451883590398
"132",-47,142,0.909917916767273
"133",-47,143,0.911691754783014
"134",-47,144,0.925208867746339
"135",-47,145,0.944851515974836
"136",-47,146,0.906344412633295
"137",-47,147,0.905477029537624
"138",-47,148,0.867449525260125
"139",-47,149,0.848893858200426
"140",-47,150,0.942455310372349
"141",-47,151,0.952240551152388
"142",-47,152,0.927753585779979
"143",-47,153,0.885955426566748
"144",-47,154,0.823372472371862
"145",-47,155,0.87240576304207
"146",-47,156,0.914696639059134
"147",-47,157,0.915732052389417
"148",-47,158,0.844117859536588
"149",-47,159,0.835038530056758
"150",-47,160,0.874708913913782
"151",-47,161,0.860932201497732
"152",-47,162,0.848187774502519
"153",-47,163,0.809512351488425
"154",-47,164,0.77007624594104
"155",-47,165,0.76422902549059
"156",-47,166,0.646221796337358
"157",-47,167,0.768674679500532
"158",-47,168,0.72462175664591
"159",-47,169,0.638394243544728
"160",-47,170,0.727810381039478
"161",-47,171,0.850613418774579
"162",-47,172,0.751460697219486
"163",-47,173,0.786865163766731
"164",-47,174,0.699623253314438
"165",-47,175,0.617281683570272
"166",-47,176,0.740546776452052
"167",-47,177,0.683855978654919
"168",-47,178,0.716181275345286
"169",-47,179,0.76015463543195
"170",-47,180,0.825095288115547
"171",-47,181,0.780467145427092
"172",-47,182,0.828637157018429
"173",-47,183,0.756701969941115
"174",-47,184,0.769302770193345
